Job Title,Job Type
Automation Engineer,Technical
Social Media Manager,Non-Technical
Blockchain Developer,Technical
Administrative Assistant,Non-Technical
Full Stack Developer,Technical
Customer Support Executive,Non-Technical
Frontend Developer,Technical
UX/UI Designer,Non-Technical
Software Engineer,Technical
Administrative Assistant,Non-Technical
Computer Vision Engineer,Technical
Operations Manager,Non-Technical
Backend Developer,Technical
Content Writer,Non-Technical
Cybersecurity Analyst,Technical
Finance Analyst,Non-Technical
Software Engineer,Technical
UX/UI Designer,Non-Technical
Computer Vision Engineer,Technical
Product Manager,Non-Technical
Blockchain Developer,Technical
Event Coordinator,Non-Technical
Backend Developer,Technical
Business Analyst,Non-Technical
AI Researcher,Technical
Recruitment Coordinator,Non-Technical
NLP Engineer,Technical
Public Relations Manager,Non-Technical
Full Stack Developer,Technical
Finance Analyst,Non-Technical
Automation Engineer,Technical
Finance Analyst,Non-Technical
Software Engineer,Technical
Event Coordinator,Non-Technical
Database Administrator,Technical
Accountant,Non-Technical
Data Scientist,Technical
HR Manager,Non-Technical
Network Engineer,Technical
Social Media Manager,Non-Technical
Frontend Developer,Technical
Finance Analyst,Non-Technical
Machine Learning Engineer,Technical
Event Coordinator,Non-Technical
Frontend Developer,Technical
Supply Chain Manager,Non-Technical
Data Scientist,Technical
Accountant,Non-Technical
Automation Engineer,Technical
Marketing Specialist,Non-Technical
Robotics Engineer,Technical
HR Manager,Non-Technical
Frontend Developer,Technical
Marketing Specialist,Non-Technical
NLP Engineer,Technical
Customer Support Executive,Non-Technical
Backend Developer,Technical
Business Analyst,Non-Technical
Automation Engineer,Technical
Operations Manager,Non-Technical
Machine Learning Engineer,Technical
Business Analyst,Non-Technical
Software Engineer,Technical
Content Writer,Non-Technical
Automation Engineer,Technical
Finance Analyst,Non-Technical
Machine Learning Engineer,Technical
Operations Manager,Non-Technical
Automation Engineer,Technical
HR Manager,Non-Technical
Game Developer,Technical
Operations Manager,Non-Technical
Automation Engineer,Technical
Product Manager,Non-Technical
Blockchain Developer,Technical
Business Analyst,Non-Technical
Automation Engineer,Technical
Customer Support Executive,Non-Technical
Full Stack Developer,Technical
Copywriter,Non-Technical
Embedded Systems Engineer,Technical
Legal Consultant,Non-Technical
Embedded Systems Engineer,Technical
Event Coordinator,Non-Technical
Data Scientist,Technical
Event Coordinator,Non-Technical
Backend Developer,Technical
Finance Analyst,Non-Technical
DevOps Engineer,Technical
Sales Representative,Non-Technical
Site Reliability Engineer,Technical
Marketing Specialist,Non-Technical
Computer Vision Engineer,Technical
Copywriter,Non-Technical
Embedded Systems Engineer,Technical
Recruitment Coordinator,Non-Technical
Cloud Engineer,Technical
Copywriter,Non-Technical
AI Researcher,Technical
Sales Representative,Non-Technical
Game Developer,Technical
Product Manager,Non-Technical
Computer Vision Engineer,Technical
Accountant,Non-Technical
Computer Vision Engineer,Technical
UX/UI Designer,Non-Technical
Full Stack Developer,Technical
Graphic Designer,Non-Technical
Frontend Developer,Technical
Operations Manager,Non-Technical
Embedded Systems Engineer,Technical
Graphic Designer,Non-Technical
Site Reliability Engineer,Technical
UX/UI Designer,Non-Technical
Database Administrator,Technical
Operations Manager,Non-Technical
Full Stack Developer,Technical
Product Manager,Non-Technical
Computer Vision Engineer,Technical
Marketing Specialist,Non-Technical
Blockchain Developer,Technical
Customer Support Executive,Non-Technical
Full Stack Developer,Technical
Public Relations Manager,Non-Technical
Machine Learning Engineer,Technical
Customer Support Executive,Non-Technical
Cybersecurity Analyst,Technical
Business Analyst,Non-Technical
NLP Engineer,Technical
Content Writer,Non-Technical
Computer Vision Engineer,Technical
Marketing Specialist,Non-Technical
AI Researcher,Technical
Administrative Assistant,Non-Technical
Blockchain Developer,Technical
Recruitment Coordinator,Non-Technical
Blockchain Developer,Technical
HR Manager,Non-Technical
Robotics Engineer,Technical
Supply Chain Manager,Non-Technical
Full Stack Developer,Technical
Social Media Manager,Non-Technical
Database Administrator,Technical
Content Writer,Non-Technical
Software Engineer,Technical
Graphic Designer,Non-Technical
Machine Learning Engineer,Technical
Product Manager,Non-Technical
Network Engineer,Technical
Graphic Designer,Non-Technical
Network Engineer,Technical
Event Coordinator,Non-Technical
Software Engineer,Technical
Accountant,Non-Technical
Cybersecurity Analyst,Technical
Content Writer,Non-Technical
Cloud Engineer,Technical
Recruitment Coordinator,Non-Technical
Machine Learning Engineer,Technical
Administrative Assistant,Non-Technical
Embedded Systems Engineer,Technical
Copywriter,Non-Technical
Cloud Engineer,Technical
Marketing Specialist,Non-Technical
AI Researcher,Technical
Customer Support Executive,Non-Technical
Network Engineer,Technical
Product Manager,Non-Technical
Automation Engineer,Technical
Supply Chain Manager,Non-Technical
Machine Learning Engineer,Technical
Finance Analyst,Non-Technical
Blockchain Developer,Technical
Finance Analyst,Non-Technical
Cybersecurity Analyst,Technical
Operations Manager,Non-Technical
Data Scientist,Technical
Public Relations Manager,Non-Technical
Database Administrator,Technical
Product Manager,Non-Technical
Robotics Engineer,Technical
Content Writer,Non-Technical
NLP Engineer,Technical
Graphic Designer,Non-Technical
Frontend Developer,Technical
Finance Analyst,Non-Technical
Full Stack Developer,Technical
Legal Consultant,Non-Technical
DevOps Engineer,Technical
Finance Analyst,Non-Technical
Database Administrator,Technical
Event Coordinator,Non-Technical
Machine Learning Engineer,Technical
Social Media Manager,Non-Technical
Network Engineer,Technical
Business Analyst,Non-Technical
Automation Engineer,Technical
Operations Manager,Non-Technical
Database Administrator,Technical
Legal Consultant,Non-Technical
Database Administrator,Technical
Legal Consultant,Non-Technical
Blockchain Developer,Technical
Social Media Manager,Non-Technical
Database Administrator,Technical
UX/UI Designer,Non-Technical
Frontend Developer,Technical
Finance Analyst,Non-Technical
Blockchain Developer,Technical
Legal Consultant,Non-Technical
Cloud Engineer,Technical
Administrative Assistant,Non-Technical
Full Stack Developer,Technical
Copywriter,Non-Technical
AI Researcher,Technical
Social Media Manager,Non-Technical
Backend Developer,Technical
UX/UI Designer,Non-Technical
NLP Engineer,Technical
Event Coordinator,Non-Technical
NLP Engineer,Technical
Customer Support Executive,Non-Technical
Database Administrator,Technical
Business Analyst,Non-Technical
Computer Vision Engineer,Technical
Copywriter,Non-Technical
Cloud Engineer,Technical
Finance Analyst,Non-Technical
AI Researcher,Technical
HR Manager,Non-Technical
Robotics Engineer,Technical
HR Manager,Non-Technical
Database Administrator,Technical
Event Coordinator,Non-Technical
Automation Engineer,Technical
Social Media Manager,Non-Technical
Computer Vision Engineer,Technical
HR Manager,Non-Technical
Full Stack Developer,Technical
Content Writer,Non-Technical
NLP Engineer,Technical
Finance Analyst,Non-Technical
Cloud Engineer,Technical
Event Coordinator,Non-Technical
Software Engineer,Technical
Operations Manager,Non-Technical
Automation Engineer,Technical
UX/UI Designer,Non-Technical
Machine Learning Engineer,Technical
Business Analyst,Non-Technical
Cloud Engineer,Technical
Event Coordinator,Non-Technical
Robotics Engineer,Technical
Recruitment Coordinator,Non-Technical
Robotics Engineer,Technical
Graphic Designer,Non-Technical
Embedded Systems Engineer,Technical
Event Coordinator,Non-Technical
Frontend Developer,Technical
Legal Consultant,Non-Technical
Blockchain Developer,Technical
Supply Chain Manager,Non-Technical
DevOps Engineer,Technical
Content Writer,Non-Technical
Automation Engineer,Technical
Finance Analyst,Non-Technical
Machine Learning Engineer,Technical
UX/UI Designer,Non-Technical
DevOps Engineer,Technical
Graphic Designer,Non-Technical
DevOps Engineer,Technical
Copywriter,Non-Technical
Game Developer,Technical
Finance Analyst,Non-Technical
Cybersecurity Analyst,Technical
Copywriter,Non-Technical
Database Administrator,Technical
Sales Representative,Non-Technical
AI Researcher,Technical
Event Coordinator,Non-Technical
DevOps Engineer,Technical
Product Manager,Non-Technical
NLP Engineer,Technical
Legal Consultant,Non-Technical
Computer Vision Engineer,Technical
Customer Support Executive,Non-Technical
Automation Engineer,Technical
UX/UI Designer,Non-Technical
Embedded Systems Engineer,Technical
Administrative Assistant,Non-Technical
Network Engineer,Technical
Public Relations Manager,Non-Technical
Cybersecurity Analyst,Technical
Event Coordinator,Non-Technical
Game Developer,Technical
Business Analyst,Non-Technical
Backend Developer,Technical
Legal Consultant,Non-Technical
AI Researcher,Technical
Finance Analyst,Non-Technical
Cloud Engineer,Technical
Sales Representative,Non-Technical
Backend Developer,Technical
UX/UI Designer,Non-Technical
DevOps Engineer,Technical
Social Media Manager,Non-Technical
AI Researcher,Technical
Customer Support Executive,Non-Technical
Full Stack Developer,Technical
Public Relations Manager,Non-Technical
AI Researcher,Technical
Supply Chain Manager,Non-Technical
Network Engineer,Technical
Recruitment Coordinator,Non-Technical
Machine Learning Engineer,Technical
UX/UI Designer,Non-Technical
Robotics Engineer,Technical
Supply Chain Manager,Non-Technical
Machine Learning Engineer,Technical
Sales Representative,Non-Technical
Site Reliability Engineer,Technical
Event Coordinator,Non-Technical
Network Engineer,Technical
Event Coordinator,Non-Technical
Automation Engineer,Technical
HR Manager,Non-Technical
Embedded Systems Engineer,Technical
Recruitment Coordinator,Non-Technical
Site Reliability Engineer,Technical
Marketing Specialist,Non-Technical
Cybersecurity Analyst,Technical
HR Manager,Non-Technical
Embedded Systems Engineer,Technical
Administrative Assistant,Non-Technical
DevOps Engineer,Technical
Recruitment Coordinator,Non-Technical
Database Administrator,Technical
Customer Support Executive,Non-Technical
Full Stack Developer,Technical
HR Manager,Non-Technical
Cloud Engineer,Technical
Content Writer,Non-Technical
Computer Vision Engineer,Technical
HR Manager,Non-Technical
Software Engineer,Technical
Copywriter,Non-Technical
Robotics Engineer,Technical
Social Media Manager,Non-Technical
Computer Vision Engineer,Technical
Customer Support Executive,Non-Technical
